Property Name,date,price
Airyland Room,2025-05-18,113500
Airyland Room,2025-05-19,123800
Airyland Room,2025-05-19,106200
Airyland Room,2025-05-19,88500
Airyland Room,2025-05-20,111500
Airyland Room,2025-05-20,95600
Airyland Room,2025-05-20,79700
Airyland Room,2025-05-21,111500
Airyland Room,2025-05-21,95600
Airyland Room,2025-05-21,79700
Airyland Room,2025-05-22,111500
Airyland Room,2025-05-22,95600
Airyland Room,2025-05-22,79700
Airyland Room,2025-05-23,123800
Airyland Room,2025-05-23,106200
Airyland Room,2025-05-23,88500
Airyland Room,2025-05-24,151900
Airyland Room,2025-05-24,130200
Airyland Room,2025-05-24,108500
Airyland Room,2025-05-25,158800
Airyland Room,2025-05-25,136200
Airyland Room,2025-05-25,113500
Airyland Room,2025-05-26,123800
Airyland Room,2025-05-26,106200
Airyland Room,2025-05-26,88500
Airyland Room,2025-05-27,111600
Airyland Room,2025-05-27,95700
Airyland Room,2025-05-27,79800
Airyland Room,2025-05-28,111600
Airyland Room,2025-05-28,95700
Airyland Room,2025-05-28,79800
Airyland Room,2025-05-29,111600
Airyland Room,2025-05-29,95700
Airyland Room,2025-05-29,79800
Airyland Room,2025-05-30,124100
Airyland Room,2025-05-30,106400
Airyland Room,2025-05-30,88700
Airyland Room,2025-05-31,152200
Airyland Room,2025-05-31,130500
Airyland Room,2025-05-31,108800
Airyland Room,2025-06-01,158900
Airyland Room,2025-06-01,136200
Airyland Room,2025-06-01,113500
