Property Name,date,price
Albany Room,2025-01-16,50000
Amani Room,2025-01-16,33000
Amani Premium Room,2025-01-16,33000
Airyland Room,2025-01-17,103000
Airyland Room,2025-01-17,88400
Airyland Room,2025-01-17,73600
Albany Room,2025-01-17,55000
Amani Room,2025-01-17,33400
Amani Premium Room,2025-01-17,33400
Airyland Room,2025-01-18,126500
Airyland Room,2025-01-18,108500
Airyland Room,2025-01-18,90500
Albany Room,2025-01-18,66900
Amani Room,2025-01-18,40600
Amani Premium Room,2025-01-18,40600
Airyland Room,2025-01-19,132200
Airyland Room,2025-01-19,113300
Airyland Room,2025-01-19,94400
Albany Room,2025-01-19,69800
Amani Room,2025-01-19,42400
Amani Premium Room,2025-01-19,42400
Airyland Room,2025-01-20,103400
Airyland Room,2025-01-20,88700
Airyland Room,2025-01-20,74000
Albany Room,2025-01-20,55000
Amani Room,2025-01-20,33500
Amani Premium Room,2025-01-20,33500
Airyland Room,2025-01-21,92900
Airyland Room,2025-01-21,79700
Airyland Room,2025-01-21,66400
Albany Room,2025-01-21,50000
Amani Room,2025-01-21,33000
Amani Premium Room,2025-01-21,33000
Airyland Room,2025-01-22,92900
Airyland Room,2025-01-22,79700
Airyland Room,2025-01-22,66400
Albany Room,2025-01-22,50000
Amani Room,2025-01-22,33000
Amani Premium Room,2025-01-22,33000
Airyland Room,2025-01-23,92900
Airyland Room,2025-01-23,79700
Airyland Room,2025-01-23,66400
Amani Room,2025-01-23,33000
Amani Premium Room,2025-01-23,33000
Airyland Room,2025-01-24,113800
Airyland Room,2025-01-24,113800
Airyland Room,2025-01-24,113800
Amani Room,2025-01-24,37300
Amani Premium Room,2025-01-24,37300
Airyland Room,2025-01-25,139200
Airyland Room,2025-01-25,139200
Airyland Room,2025-01-25,139200
Amani Room,2025-01-25,40600
Amani Premium Room,2025-01-25,40600
Airyland Room,2025-01-26,145500
Airyland Room,2025-01-26,145500
Airyland Room,2025-01-26,145500
Amani Room,2025-01-26,56600
Amani Premium Room,2025-01-26,56600
Airyland Room,2025-01-27,113800
Airyland Room,2025-01-27,97600
Airyland Room,2025-01-27,81300
Albany Room,2025-01-27,55000
Amani Premium Room,2025-01-27,44600
Amani Room,2025-01-27,44600
Airyland Room,2025-01-28,102300
Airyland Room,2025-01-28,87800
Airyland Room,2025-01-28,73200
Albany Room,2025-01-28,50100
Amani Premium Room,2025-01-28,40500
Amani Room,2025-01-28,40500
Airyland Room,2025-01-29,102300
Airyland Room,2025-01-29,87800
Airyland Room,2025-01-29,73200
Albany Room,2025-01-29,50100
Amani Room,2025-01-29,33000
Amani Premium Room,2025-01-29,33000
Airyland Room,2025-01-30,102300
Airyland Room,2025-01-30,87800
Airyland Room,2025-01-30,73200
Amani Room,2025-01-30,33000
Amani Premium Room,2025-01-30,33000
Airyland Room,2025-01-31,113800
Airyland Room,2025-01-31,97600
Airyland Room,2025-01-31,81300
Amani Room,2025-01-31,33600
Amani Premium Room,2025-01-31,33600
Airyland Room,2025-02-01,139400
Airyland Room,2025-02-01,119500
Airyland Room,2025-02-01,99600
Amani Room,2025-02-01,40700
Amani Premium Room,2025-02-01,40700
Airyland Room,2025-02-02,145900
Airyland Room,2025-02-02,125100
Airyland Room,2025-02-02,104300
Albany Room,2025-02-02,69900
Amani Room,2025-02-02,42500
Amani Premium Room,2025-02-02,42500
Airyland Room,2025-02-03,113800
Airyland Room,2025-02-03,97600
Airyland Room,2025-02-03,81300
Albany Room,2025-02-03,55200
Amani Room,2025-02-03,33600
Amani Premium Room,2025-02-03,33600
Airyland Room,2025-02-04,102500
Airyland Room,2025-02-04,87800
Airyland Room,2025-02-04,73200
Albany Room,2025-02-04,50100
Amani Room,2025-02-04,33000
Amani Premium Room,2025-02-04,33000
Airyland Room,2025-02-05,102500
Airyland Room,2025-02-05,87800
Airyland Room,2025-02-05,73200
Albany Room,2025-02-05,50100
Amani Room,2025-02-05,33000
Amani Premium Room,2025-02-05,33000
Airyland Room,2025-02-06,102500
Airyland Room,2025-02-06,87800
Airyland Room,2025-02-06,73200
Albany Room,2025-02-06,50100
Amani Room,2025-02-06,33000
Amani Premium Room,2025-02-06,33000
Airyland Room,2025-02-07,113800
Airyland Room,2025-02-07,97600
Airyland Room,2025-02-07,81300
Albany Room,2025-02-07,55200
Amani Room,2025-02-07,33600
Amani Premium Room,2025-02-07,33600
Airyland Room,2025-02-08,139400
Airyland Room,2025-02-08,119500
Airyland Room,2025-02-08,99600
Albany Room,2025-02-08,67100
Amani Room,2025-02-08,40700
Amani Premium Room,2025-02-08,40700
Airyland Room,2025-02-09,146000
Airyland Room,2025-02-09,125200
Airyland Room,2025-02-09,104300
Albany Room,2025-02-09,69900
Amani Room,2025-02-09,42500
Amani Premium Room,2025-02-09,42500
Airyland Room,2025-02-10,113900
Airyland Room,2025-02-10,97700
Airyland Room,2025-02-10,81400
Albany Room,2025-02-10,55200
Amani Room,2025-02-10,33600
Amani Premium Room,2025-02-10,33600
Airyland Room,2025-02-11,102500
Airyland Room,2025-02-11,87800
Airyland Room,2025-02-11,73200
Albany Room,2025-02-11,50100
Amani Room,2025-02-11,33000
Amani Premium Room,2025-02-11,33000
Airyland Room,2025-02-12,102500
Airyland Room,2025-02-12,87800
Airyland Room,2025-02-12,73200
Albany Room,2025-02-12,50100
Amani Room,2025-02-12,33000
Amani Premium Room,2025-02-12,33000
Airyland Room,2025-02-13,102500
Airyland Room,2025-02-13,87800
Airyland Room,2025-02-13,73200
Albany Room,2025-02-13,50200
Amani Room,2025-02-13,33000
Amani Premium Room,2025-02-13,33000
Airyland Room,2025-02-14,113900
Airyland Room,2025-02-14,97700
Airyland Room,2025-02-14,81400
Albany Room,2025-02-14,55200
Amani Room,2025-02-14,33600
Amani Premium Room,2025-02-14,33600
Airyland Room,2025-02-15,152300
Airyland Room,2025-02-15,130600
Airyland Room,2025-02-15,108800
Albany Room,2025-02-15,72900
Amani Room,2025-02-15,44300
Amani Premium Room,2025-02-15,44300
Airyland Room,2025-02-16,159200
Airyland Room,2025-02-16,136600
Airyland Room,2025-02-16,113800
Albany Room,2025-02-16,75900
Amani Room,2025-02-16,46100
Amani Premium Room,2025-02-16,46100
Airyland Room,2025-02-17,124200
Airyland Room,2025-02-17,106500
Airyland Room,2025-02-17,88800
Albany Room,2025-02-17,59900
Amani Room,2025-02-17,36300
Amani Premium Room,2025-02-17,36300
Airyland Room,2025-02-18,112000
Airyland Room,2025-02-18,96100
Airyland Room,2025-02-18,80100
Albany Room,2025-02-18,54300
Amani Room,2025-02-18,33000
Amani Premium Room,2025-02-18,33000
Airyland Room,2025-02-19,112000
Airyland Room,2025-02-19,96100
Airyland Room,2025-02-19,80100
Albany Room,2025-02-19,54300
Amani Room,2025-02-19,33000
Amani Premium Room,2025-02-19,33000
Airyland Room,2025-02-20,112000
Airyland Room,2025-02-20,96100
Airyland Room,2025-02-20,80100
Albany Room,2025-02-20,54300
Amani Room,2025-02-20,33000
Amani Premium Room,2025-02-20,33000
Airyland Room,2025-02-21,124600
Airyland Room,2025-02-21,106900
Airyland Room,2025-02-21,89000
Albany Room,2025-02-21,59900
Amani Room,2025-02-21,36300
Amani Premium Room,2025-02-21,36300
Airyland Room,2025-02-22,152400
Airyland Room,2025-02-22,130700
Airyland Room,2025-02-22,108900
Albany Room,2025-02-22,73000
Amani Room,2025-02-22,44300
Amani Premium Room,2025-02-22,44300
Airyland Room,2025-02-23,159300
Airyland Room,2025-02-23,136700
Airyland Room,2025-02-23,113900
Albany Room,2025-02-23,76100
Amani Room,2025-02-23,46100
Amani Premium Room,2025-02-23,46100
Airyland Room,2025-02-24,124600
Airyland Room,2025-02-24,106900
Airyland Room,2025-02-24,89000
Albany Room,2025-02-24,59900
Amani Room,2025-02-24,36300
Amani Premium Room,2025-02-24,36300
Airyland Room,2025-02-25,112100
Airyland Room,2025-02-25,96200
Airyland Room,2025-02-25,80100
Albany Room,2025-02-25,54400
Amani Room,2025-02-25,33000
Amani Premium Room,2025-02-25,33000
Airyland Room,2025-02-26,112100
Airyland Room,2025-02-26,96200
Airyland Room,2025-02-26,80100
Albany Room,2025-02-26,54400
Amani Room,2025-02-26,33000
Amani Premium Room,2025-02-26,33000
Airyland Room,2025-02-27,112100
Airyland Room,2025-02-27,96200
Airyland Room,2025-02-27,80100
Albany Room,2025-02-27,54400
Amani Room,2025-02-27,33000
Amani Premium Room,2025-02-27,33000
Airyland Room,2025-02-28,124600
Airyland Room,2025-02-28,106900
Airyland Room,2025-02-28,89000
Albany Room,2025-02-28,59900
Amani Room,2025-02-28,36300
Amani Premium Room,2025-02-28,36300
Airyland Room,2025-03-01,127100
Airyland Room,2025-03-01,108900
Airyland Room,2025-03-01,90800
Albany Room,2025-03-01,67300
Amani Room,2025-03-01,40900
Amani Premium Room,2025-03-01,40900
Airyland Room,2025-03-02,132800
Airyland Room,2025-03-02,113900
Airyland Room,2025-03-02,95000
Albany Room,2025-03-02,70100
Amani Room,2025-03-02,42600
Amani Premium Room,2025-03-02,42600
Airyland Room,2025-03-03,103900
Airyland Room,2025-03-03,89100
Airyland Room,2025-03-03,74300
Albany Room,2025-03-03,55400
Amani Room,2025-03-03,33600
Amani Premium Room,2025-03-03,33600
Airyland Room,2025-03-04,93500
Airyland Room,2025-03-04,80200
Airyland Room,2025-03-04,66900
Albany Room,2025-03-04,50300
Amani Room,2025-03-04,33000
Amani Premium Room,2025-03-04,33000
Airyland Room,2025-03-05,93500
Airyland Room,2025-03-05,80200
Airyland Room,2025-03-05,66900
Albany Room,2025-03-05,50300
Amani Room,2025-03-05,33000
Amani Premium Room,2025-03-05,33000
Airyland Room,2025-03-06,93500
Airyland Room,2025-03-06,80200
Airyland Room,2025-03-06,66900
Albany Room,2025-03-06,50300
Amani Room,2025-03-06,33000
Amani Premium Room,2025-03-06,33000
Airyland Room,2025-03-07,103900
Airyland Room,2025-03-07,89100
Airyland Room,2025-03-07,74300
Albany Room,2025-03-07,55400
Amani Room,2025-03-07,33600
Amani Premium Room,2025-03-07,33600
Albany Room,2025-03-08,67400
Amani Room,2025-03-08,40900
Amani Premium Room,2025-03-08,40900
Albany Room,2025-03-09,70100
Amani Room,2025-03-09,42600
Amani Premium Room,2025-03-09,42600
Airyland Room,2025-03-10,104000
Airyland Room,2025-03-10,89100
Airyland Room,2025-03-10,74300
Albany Room,2025-03-10,55400
Amani Room,2025-03-10,33600
